,actual_coverage
147,123.85696349521659
148,96.02274676400533
149,0.0
150,47.407912552037125
151,48.2239900610485
152,59.09482304910197
153,50.36362023305524
154,4829.156626506024
155,46.828710297209184
156,27.519005480379775
158,0.0
159,128.45296430969796
160,0.0
161,48.24070605321765
162,0.0
163,23.35567451464819
164,45.0516179908629
165,304.0288031364118
167,35.0726467920127
168,20.661195444343154
169,70.00391064906317
170,0.0
171,16.229484370851708
172,17.82344263951953
173,0.0
174,0.0
175,0.0
176,0.0
178,0.0
179,29.671485806675474
180,21.207864063406532
182,0.0
183,0.0
184,0.0
185,15.162139810846902
186,0.0
187,94.70357781174356
188,29.890728313050857
189,67.76868034576702
191,447.22410816473007
192,0.0
193,0.0
194,140.42849211424613
195,16.403792355727827
196,27.180254347261872
197,0.0
198,13.334711973968917
199,0.0
201,6366.854508196721
202,80.10770842990257
203,61.87752410534592
204,47.62399059913107
205,50.70487956422337
206,16.287780191999314
207,0.0
208,0.0
209,4181.356574460023
210,27.025431536137038
211,171.36865106044863
213,0.0
214,264.77503422878993
215,1945.8719712832785
216,58.38321236685833
217,0.0
218,83.56168080531842
220,136.39441339349563
221,0.0
222,159.66396388126978
223,0.0
224,46.19199705719351
225,21.668984116310703
226,14.02056592136109
228,0.0
229,116.01684669292251
230,2782.276595744681
231,19.41094389169622
232,72.37538981515357
233,33.57905668015315
234,80.68830430295499
235,125.031511388123
236,55.72185656846163
237,1857.368896925859
238,30.01048038438105
239,150.4593041797054
240,7388.537549407115
241,0.0
242,15.776650494007153
243,0.0
244,0.0
246,0.0
247,32.384321671643924
249,247.33658054888298
251,0.0
252,13.285107533643778
253,0.0
254,0.0
255,374.8864318162338
257,0.0
258,0.0
259,0.0
260,28.082340783177884
261,96.07745740767234
263,23.52852427514242
264,18.136697458399922
265,1120.950218907086
266,44.096319610791035
267,0.0
271,29.094077653692676
275,21.01884957915738
276,0.0
277,0.0
278,16.830586503950528
279,126.3029975695382
280,89.15350535038785
281,20.465979133169636
282,23.146686894617027
283,21.76677111860977
284,30.21682929539746
285,27.66520022568908
286,100.13137497999674
287,205.1277742346416
288,15.627407388410878
289,172.19112635979343
290,23.63567074421929
291,0.0
292,0.0
293,0.0
294,17.633285119469885
295,0.0
296,221.3553575749794
297,117.49420190419781
298,19.21042247418682
299,0.0
300,0.0
301,0.0
303,0.0
304,26.440024146019876
305,0.0
307,23.044054018294908
308,0.0
309,20.325602824291742
310,0.0
311,15.589425259159208
312,67.02804751669609
313,0.0
314,27.22955850252965
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
323,16.838039961925062
324,13.363181272070872
325,11.59930441145562
326,0.0
327,0.0
328,18.54272437115675
330,0.0
332,26.971926058451388
333,24.849239157453912
334,39.29766927711781
335,15.137982775614274
336,0.0
337,23.227319581347036
338,889.8885983858133
339,26.82530794283157
340,167.5315453800461
341,13.88260275150121
342,16.307859134565735
343,20.659345974292144
344,0.0
345,15.995330880628748
346,22.6911203184387
347,146.8645902936594
348,627.2037406101487
349,0.0
350,21.49882174645591
352,116.11330671855879
353,16.96939220469953
354,0.0
356,24.49690537911536
357,17.272037403983546
358,2302.7816411682893
360,16.14416179722415
361,0.0
362,0.0
363,35.84743684850476
364,102.96257934294744
365,0.0
366,19.522879594019223
367,16.13213977725976
368,17.349676063867477
369,0.0
370,13.76996571313599
371,19.81808940139855
372,20.397802499087
374,0.0
375,0.0
376,25.070218892075417
377,10.723522269531985
378,0.0
379,239.8597924892113
